"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\theor\Desktop\chess game\Attack.py", "Python", 37, 5, 9, 51
"c:\Users\theor\Desktop\chess game\Board.py", "Python", -3, 7, 1, 5
"c:\Users\theor\Desktop\chess game\Move.py", "Python", -9, 10, -3, -2
"c:\Users\theor\Desktop\chess game\Piece.py", "Python", 3, 8, 0, 11
"c:\Users\theor\Desktop\chess game\game.py", "Python", 11, 0, -1, 10
"c:\Users\theor\Desktop\chess game\utilities.py", "Python", 1, 9, 4, 14
"Total", "-", 40, 39, 10, 89
