"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\theor\Desktop\chess game\Board.py", "Python", -28, 0, -2, -30
"c:\Users\theor\Desktop\chess game\Constants.py", "Python", 22, 0, 2, 24
"c:\Users\theor\Desktop\chess game\Move.py", "Python", 0, -1, 0, -1
"c:\Users\theor\Desktop\chess game\Visual.py", "Python", 52, 0, 8, 60
"c:\Users\theor\Desktop\chess game\game.py", "Python", 1, -1, 0, 0
"c:\Users\theor\Desktop\chess game\utilities.py", "Python", 7, -2, 3, 8
"Total", "-", 54, -4, 11, 61
