"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\theor\Desktop\chess game\Board.py", "Python", 113, 1, 16, 130
"c:\Users\theor\Desktop\chess game\Constants.py", "Python", 10, 0, 2, 12
"c:\Users\theor\Desktop\chess game\Move.py", "Python", 148, 5, 24, 177
"c:\Users\theor\Desktop\chess game\Piece.py", "Python", 101, 0, 35, 136
"c:\Users\theor\Desktop\chess game\algebraic_notation.py", "Python", -47, -4, -19, -70
"c:\Users\theor\Desktop\chess game\board.py", "Python", -190, -3, -25, -218
"c:\Users\theor\Desktop\chess game\game.py", "Python", 0, 1, -1, 0
"c:\Users\theor\Desktop\chess game\individual_pieces.py", "Python", -110, 0, -33, -143
"c:\Users\theor\Desktop\chess game\piece_types.py", "Python", -20, 0, -4, -24
"c:\Users\theor\Desktop\chess game\trash\algebraic_notation.py", "Python", 47, 4, 19, 70
"c:\Users\theor\Desktop\chess game\trash\piece_types.py", "Python", 20, 0, 4, 24
"c:\Users\theor\Desktop\chess game\utilities.py", "Python", 62, 0, 15, 77
"Total", "-", 134, 4, 33, 171
